"GEO_ID","NAME","B08301_001E","B08301_001M","B08301_002E","B08301_002M","B08301_003E","B08301_003M","B08301_004E","B08301_004M","B08301_005E","B08301_005M","B08301_006E","B08301_006M","B08301_007E","B08301_007M","B08301_008E","B08301_008M","B08301_009E","B08301_009M","B08301_010E","B08301_010M","B08301_011E","B08301_011M","B08301_012E","B08301_012M","B08301_013E","B08301_013M","B08301_014E","B08301_014M","B08301_015E","B08301_015M","B08301_016E","B08301_016M","B08301_017E","B08301_017M","B08301_018E","B08301_018M","B08301_019E","B08301_019M","B08301_020E","B08301_020M","B08301_021E","B08301_021M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Car, truck, or van:","Margin of Error!!Total:!!Car, truck, or van:","Estimate!!Total:!!Car, truck, or van:!!Drove alone","Margin of Error!!Total:!!Car, truck, or van:!!Drove alone","Estimate!!Total:!!Car, truck, or van:!!Carpooled:","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Estimate!!Total:!!Public transportation (excluding taxicab):","Margin of Error!!Total:!!Public transportation (excluding taxicab):","Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Bus","Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Estimate!!Total:!!Taxicab","Margin of Error!!Total:!!Taxicab","Estimate!!Total:!!Motorcycle","Margin of Error!!Total:!!Motorcycle","Estimate!!Total:!!Bicycle","Margin of Error!!Total:!!Bicycle","Estimate!!Total:!!Walked","Margin of Error!!Total:!!Walked","Estimate!!Total:!!Other means","Margin of Error!!Total:!!Other means","Estimate!!Total:!!Worked from home","Margin of Error!!Total:!!Worked from home",
"1400000US06075010101","Census Tract 101.01; San Francisco County; California","1022","198","194","70","179","68","15","33","5","12","10","27","0","13","0","13","0","13","244","135","183","127","34","45","0","13","27","31","0","13","0","13","0","13","27","33","106","73","10","15","441","179",
"1400000US06075010102","Census Tract 101.02; San Francisco County; California","841","219","290","159","264","142","26","34","15","27","11","21","0","13","0","13","0","13","265","129","240","121","0","13","25","42","0","13","0","13","0","13","0","13","17","22","98","66","0","13","171","108",
"1400000US06075010201","Census Tract 102.01; San Francisco County; California","1728","419","338","109","279","98","59","47","26","27","14","23","0","13","19","34","0","13","250","123","225","115","14","25","11","18","0","13","0","13","29","37","0","13","30","48","265","207","86","91","730","257",
"1400000US06075010202","Census Tract 102.02; San Francisco County; California","1406","312","294","115","234","101","60","61","38","52","22","28","0","13","0","13","0","13","352","266","236","167","59","75","0","13","57","81","0","13","0","13","0","13","80","32","278","126","18","30","384","130",
"1400000US06075010300","Census Tract 103; San Francisco County; California","2522","451","574","286","518","288","56","72","39","68","17","28","0","13","0","13","0","13","525","167","450","159","19","31","56","45","0","13","0","13","17","28","48","77","40","47","311","130","67","78","940","344",
"1400000US06075010401","Census Tract 104.01; San Francisco County; California","1144","229","391","127","308","103","83","70","18","29","65","65","0","13","0","13","0","13","91","73","52","61","19","30","16","26","4","9","0","13","0","13","0","13","97","73","284","115","0","13","281","151",
"1400000US06075010402","Census Tract 104.02; San Francisco County; California","1290","271","233","105","233","105","0","13","0","13","0","13","0","13","0","13","0","13","192","89","73","46","50","56","16","26","53","47","0","13","0","13","0","13","14","25","283","146","27","34","541","291",
"1400000US06075010500","Census Tract 105; San Francisco County; California","1621","202","194","97","160","80","34","43","34","43","0","13","0","13","0","13","0","13","257","105","144","89","64","47","40","37","9","15","0","13","0","13","0","13","53","54","595","147","37","35","485","136",
"1400000US06075010600","Census Tract 106; San Francisco County; California","1947","326","275","100","255","93","20","23","10","16","0","13","10","16","0","13","0","13","517","179","437","169","32","29","25","33","0","13","23","36","47","60","0","13","39","35","699","213","43","46","327","122",
"1400000US06075010701","Census Tract 107.01; San Francisco County; California","1270","327","172","101","172","101","0","13","0","13","0","13","0","13","0","13","0","13","612","270","471","249","129","103","12","19","0","13","0","13","0","13","0","13","2","22","314","156","0","13","170","148",
"1400000US06075010702","Census Tract 107.02; San Francisco County; California","883","184","170","112","113","81","57","76","57","76","0","13","0","13","0","13","0","13","167","101","123","81","0","13","33","46","11","20","0","13","0","13","0","13","0","13","325","141","46","58","175","113",
"1400000US06075010800","Census Tract 108; San Francisco County; California","3188","462","751","221","642","222","109","98","75","85","0","13","34","51","0","13","0","13","681","373","549","354","64","54","44","43","24","29","0","13","16","25","0","13","53","50","1089","299","0","13","598","207",
"1400000US06075010901","Census Tract 109.01; San Francisco County; California","1519","378","476","212","403","203","73","71","73","71","0","13","0","13","0","13","0","13","451","229","432","228","0","13","19","22","0","13","0","13","34","55","0","13","59","49","198","135","73","93","228","116",
