OBJECTID,LOC_ID,LOCATION,NODELAYER,CNN,TIME,YR2006_PM,YR2007_PM,YR2008_PM,YR2009_PM,YR2010_PM,YR2011_PM,YR2013_PM,YR2014_PM,YR2015_PM,YR2011PADJ,GLOBALID,YR2016_PM,YR2017_PM,shape,data_as_of,data_loaded_at,analysis_neighborhood,supervisor_district,Analysis Neighborhoods,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts
604,48,University of California San Francisco Parnassus Campus,,37.76351,"122° 27' 28.800"" W",-1,-1,-1,-1,-1,16,20,20,21,0,,-1,-1,POINT (-122.458 37.76351),03/06/2020 01:20:08 PM,,Inner Sunset,7,14,110,110,7,11
663,106,Pine St & Battery St,,37.79226,"122° 24' 0.000"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.4 37.79226),03/06/2020 01:12:59 PM,,Financial District/South Beach,3,8,108,108,6,3
632,76,Divisadero St & McAllister St,,37.777789999999996,"122° 26' 16.800"" W",-1,-1,-1,-1,-1,-1,263,263,213,-1,,-1,-1,POINT (-122.438 37.77779),03/06/2020 01:12:26 PM,,Western Addition,5,39,23,23,4,11
599,43,8th Ave & Clement St,,37.78284,"122° 28' 1.200"" W",-1,-1,-1,-1,-1,95,82,82,50,0,,-1,-1,POINT (-122.467 37.78284),03/06/2020 01:19:35 PM,,Inner Richmond,1,11,5,5,8,4
610,54,Cesar Chavez & Illinois St,,37.75031,"122° 23' 13.200"" W",-1,-1,-1,-1,-1,-1,107,107,105,-1,,-1,-1,POINT (-122.387 37.75031),03/06/2020 01:12:04 PM,,Bayview Hunters Point,10,1,56,56,2,9
669,112,Gennessee St & Hearst Ave,,37.73066,"122° 27' 3.600"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.451 37.73066),03/06/2020 01:13:06 PM,,West of Twin Peaks,7,41,95,95,9,8
649,92,Howard St & 5th St,,37.78151,"122° 24' 18.000"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.405 37.78151),03/06/2020 01:12:45 PM,,South of Market,6,34,32,32,1,10
586,30,Marina Blvd & Cervantes Blvd,,37.80578,"122° 26' 31.200"" W",240,292,490,517,382,625,613,613,580,569,,522,460,POINT (-122.442 37.80578),03/06/2020 01:18:27 PM,,Marina,2,13,17,17,4,6
593,37,Mission St & 16th St,,37.765049999999995,"122° 25' 12.000"" W",-1,-1,-1,-1,-1,270,159,159,137,0,,-1,-1,POINT (-122.42 37.76505),03/06/2020 01:18:57 PM,,Mission,9,20,53,53,3,2
616,60,Ortega St & 24th Ave,,37.75214,"122° 28' 55.200"" W",-1,-1,-1,-1,-1,-1,11,11,12,-1,,-1,-1,POINT (-122.482 37.75214),03/06/2020 01:12:09 PM,,Sunset/Parkside,4,35,39,39,10,7
