CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
9481518,1,1,Y,-,998,G,G,-,-,-,,-,-,-,,21,21209,A,A,-,0,0,H,2022,-,A,01,,,,-,-,2022
9481518,2,4,N,M,29,H,H,W,-,-,,-,-,-,-,"- ",,,-,-,0,1,B,,-,L,04,,W,,-,-,2022
9506574,1,1,Y,-,998,G,G,W,-,-,,-,-,-,-,"- ",,,N,-,0,0,B,,-,A,01,,,,-,-,2022
9506574,2,4,N,M,48,G,G,E,-,-,,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,H,,-,-,2022
9522376,1,4,Y,M,80,A,-,N,-,-,,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,A,,-,-,2022
9453164,1,1,Y,-,998,G,G,W,-,-,,-,-,-,,19,20001,A,A,-,0,0,B,2014,-,F,26,,,,-,-,2022
9453164,2,4,N,M,46,-,-,W,-,-,N,-,-,-,-,"- ",,,-,-,0,1,B,,-,L,04,,W,,-,-,2022
9531199,1,1,Y,M,42,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,K,2023,-,-,,,A,,-,-,2022
9531199,2,4,N,M,29,A,-,E,-,-,,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,H,,-,-,2022
9509971,1,4,Y,M,16,G,G,S,-,-,,-,-,-,-,"- ",,,N,-,0,1,B,,-,L,04,,W,,-,-,2022
9509971,2,1,N,M,47,A,-,W,M,-,Y,-,3,-,-,"- ",,,N,-,0,0,B,2003,-,A,01,,A,,-,-,2022
9543460,1,1,Y,M,38,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,D,2019,-,A,01,,W,,-,-,2022
9543460,2,4,N,M,50,A,-,E,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,W,,-,-,2022
9348955,1,1,Y,X,30,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,F,2015,-,A,01,,W,,-,-,2022
9348955,2,4,N,M,57,A,-,S,-,-,,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,W,,-,-,2022
9472274,1,4,Y,M,60,A,-,W,-,-,,-,3,-,-,"- ",,,M,-,0,1,B,,-,L,04,,W,,-,-,2022
9472274,2,1,N,M,71,A,-,N,M,G,Y,-,3,-,-,"- ",,,-,-,0,0,B,2017,-,A,01,,W,,-,-,2022
9543170,1,4,Y,M,43,A,-,N,-,-,N,-,3,-,-,"- ",,,N,-,0,1,Q,,-,L,04,,W,,-,-,2022
9543170,2,1,N,M,70,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2001,-,A,01,,A,,-,-,2022
9295586,1,1,Y,M,68,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2010,-,A,01,,A,,-,-,2021
9295586,2,4,N,F,50,A,-,W,-,-,,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,W,,-,-,2021
9503245,1,1,Y,F,28,A,I,S,L,G,N,-,3,-,,47,16028,A,A,-,0,0,B,1995,-,A,01,,W,,-,-,2022
9503245,2,1,N,M,31,A,-,E,M,-,Y,-,3,-,-,"- ",,,I,-,0,1,B,2022,-,A,07,,A,,-,-,2022
9503245,3,4,N,F,29,A,-,E,-,-,,-,3,-,-,"- ",,,-,-,0,1,B,,-,L,04,,W,,-,-,2022
9262686,1,1,Y,M,65,A,-,N,M,G,N,-,-,-,,27,21651,B,A,-,0,0,E,2009,-,A,01,,B,,-,-,2021
9262686,2,4,N,F,31,A,-,N,-,-,,-,-,-,-,"- ",,,L,-,0,1,B,,-,L,04,,B,,-,-,2021
9635985,1,4,Y,M,74,A,-,W,-,-,,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,W,,-,-,2023
9635985,2,1,N,M,32,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2014,-,A,01,,W,,-,-,2023
9375701,1,4,Y,M,30,A,-,W,-,-,N,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,W,,-,-,2021
9375701,2,1,N,M,21,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2005,-,A,01,,O,,-,-,2021
9343284,1,1,Y,M,80,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2020,MINI,A,01,,W,,-,-,2021
9343284,2,4,N,M,54,A,-,S,-,-,,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,W,,-,-,2021
9396461,1,4,N,M,53,A,-,S,-,-,,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,W,,-,-,2022
9280868,1,4,Y,M,54,A,-,E,-,-,,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,H,,-,-,2021
9280868,2,2,N,F,55,A,-,E,-,-,O,-,3,-,-,"- ",,,N,-,0,1,R,,-,N,60,,A,,-,-,2021
9481909,1,1,N,F,54,A,-,S,M,C,Y,-,3,-,-,"- ",,,A,N,0,0,F,2016,-,A,01,,W,,-,-,2022
9481909,2,4,N,M,28,A,-,S,-,-,,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,H,,-,-,2022
9503118,1,1,Y,M,29,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,0,D,2020,-,A,01,,B,,-,-,2022
9503118,2,4,N,M,30,A,-,S,-,-,,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,W,,-,-,2022
9505979,1,4,N,F,28,A,-,E,P,W,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,W,,-,-,2022
9505979,2,3,N,-,998,H,H,E,-,-,O,-,3,-,-,"- ",,,N,-,0,0,O,2003,-,A,07,,,,-,-,2022
9316665,1,4,Y,M,24,-,-,S,-,-,,-,3,-,-,"- ",,,-,-,0,1,E,,-,L,04,,A,,-,-,2021
9316665,2,1,N,M,43,-,-,W,M,G,Y,-,3,-,-,"- ",,,-,-,0,0,B,2017,-,A,08,,B,,-,-,2021
9670592,1,1,Y,F,42,C,-,W,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,E,2014,-,A,01,,A,,-,-,2024
9670592,2,4,N,M,35,C,-,E,-,-,,-,-,-,-,"- ",,,N,-,0,1,A,,-,L,04,,A,,-,-,2024
9410056,1,4,Y,M,33,A,-,W,-,-,,-,3,-,-,"- ",,,N,-,0,1,E,,-,L,04,,H,,-,-,2022
9410056,2,1,N,M,32,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2015,-,A,01,,A,,-,-,2022
9427334,1,1,Y,F,23,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,L,2015,-,A,01,,W,,-,-,2022
9427334,2,4,N,M,32,A,-,S,-,-,,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,W,,-,-,2022
9427855,1,1,N,-,52,-,-,W,-,-,Y,-,-,-,-,"- ",,,-,-,0,0,-,,-,A,01,,H,,-,-,2022
9427855,2,4,N,M,55,-,-,E,-,-,,-,-,-,-,"- ",,,-,-,0,1,-,,-,L,04,,W,,-,-,2022
9481268,1,3,Y,-,998,A,-,E,-,-,O,-,3,-,-,"- ",,,N,-,0,0,O,2017,FORD,D,22,,,,-,-,2022
9481268,2,4,N,M,32,A,-,E,-,-,,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,W,,-,-,2022
9506484,1,4,Y,M,29,A,-,E,-,-,N,-,3,-,,44,21200,,A,-,0,1,B,,-,L,04,,H,,-,-,2022
9603692,1,4,Y,M,15,A,-,S,-,-,,-,3,-,,24,22450,A,A,-,0,1,B,,-,L,04,,H,,-,-,2023
9603692,2,1,N,M,34,A,-,E,M,G,,-,3,-,-,"- ",,,N,-,0,0,E,2017,-,A,01,,H,,-,-,2023
9468620,1,1,Y,M,55,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,J,2020,-,A,07,,A,,-,-,2023
9468620,2,4,N,F,46,A,-,S,-,-,,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,H,,-,-,2023
9295599,1,1,Y,F,67,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,E,2014,-,A,01,,,,-,-,2021
9295599,2,4,N,F,44,A,-,E,-,-,,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,A,,-,-,2021
9634758,1,1,Y,M,51,-,-,W,M,G,Y,-,3,-,-,"- ",,,J,-,0,0,E,2019,-,A,01,,A,,-,-,2023
9634758,2,4,N,M,24,-,-,S,-,-,,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,W,,-,-,2023
9437536,1,4,N,M,17,A,-,S,-,-,N,-,3,-,,25,22350,,A,N,0,1,H,,-,L,04,,H,,-,-,2022
9437536,2,1,Y,F,38,G,G,S,M,-,Y,-,-,-,-,"- ",,,N,-,0,0,B,2010,-,A,01,,H,,-,-,2022
9503091,1,2,Y,M,79,A,-,E,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,N,60,,O,,-,-,2022
9503091,2,4,N,M,998,G,G,W,-,-,,-,3,-,,44,21657,,A,-,0,0,B,,-,L,04,,W,,-,-,2022
